ncbi_gene_id,name,landmark,gene_orientation,gene_start,gene_end,sum,len,all_sum,row_id,intron_count
24,ABCA4,chr1,R,93992836,94121149,128313,128313,128313,0,49
27,ABL2,chr1,R,179099326,179229693,258680,130367,258680,1,13
34,ACADM,chr1,F,75724346,75763679,298013,39333,298013,2,12
58,ACTA1,chr1,R,229431244,229434096,300865,2852,300865,3,6
88,ACTN2,chr1,F,236686453,236764631,379043,78178,379043,4,22
103,ADAR,chr1,R,154582056,154628013,425000,45957,425000,5,17
134,ADORA1,chr1,F,203127704,203167405,464701,39701,464701,6,4
140,ADORA3,chr1,R,111499428,111504121,469394,4693,469394,7,1
142,PARP1,chr1,R,226360690,226408100,516804,47410,516804,8,22
159,ADSS,chr1,R,244408491,244452134,560447,43643,560447,9,13
178,AGL,chr1,F,99850076,99924023,634394,73947,634394,10,35
183,AGT,chr1,R,230702522,230714590,646462,12068,646462,11,4
204,AK2,chr1,R,33007939,33036911,675434,28972,675434,12,7
205,AK4,chr1,F,65147548,65232145,760031,84597,760031,13,6
223,ALDH9A1,chr1,R,165662211,165698663,796483,36452,796483,14,10
249,ALPL,chr1,F,21508981,21578412,865914,69431,865914,15,14
257,ALX3,chr1,R,110060374,110070700,876240,10326,876240,16,3
270,AMPD1,chr1,R,114673097,114695618,898761,22521,898761,17,15
271,AMPD2,chr1,F,109619658,109632055,911158,12397,911158,18,18
276,AMY1A,chr1,F,103655518,103664551,920191,9033,920191,19,10
277,AMY1B,chr1,R,103687414,103696452,929229,9038,929229,20,11
278,AMY1C,chr1,F,103749655,103758692,938266,9037,938266,21,10
279,AMY2A,chr1,F,103617331,103625780,946715,8449,946715,22,9
280,AMY2B,chr1,F,103554643,103579534,971606,24891,971606,23,11
325,APCS,chr1,F,159587825,159588871,972652,1046,972652,24,1
336,APOA2,chr1,R,161222292,161223628,973988,1336,973988,25,3
356,FASLG,chr1,F,172659007,172666873,981854,7866,981854,26,3
375,ARF1,chr1,F,228082659,228099212,998407,16553,998407,27,5
389,RHOC,chr1,R,112701126,112707403,1004684,6277,1004684,28,6
405,ARNT,chr1,R,150809704,150876768,1071748,67064,1071748,29,24
460,ASTN1,chr1,R,176857304,177164904,1379348,307600,1379348,30,25
462,SERPINC1,chr1,R,173903799,173917378,1392927,13579,1392927,31,7
467,ATF3,chr1,F,212565333,212620777,1448371,55444,1448371,32,6
473,RERE,chr1,R,8352403,8817691,1913659,465288,1913659,33,27
476,ATP1A1,chr1,F,116372184,116404774,1946249,32590,1946249,34,25
477,ATP1A2,chr1,F,160115729,160143591,1974111,27862,1974111,35,22
480,ATP1A4,chr1,F,160151561,160186977,2009527,35416,2009527,36,22
481,ATP1B1,chr1,F,169106708,169132722,2035541,26014,2035541,37,5
493,ATP2B4,chr1,F,203626786,203744081,2152836,117295,2152836,38,21
515,ATP5F1,chr1,F,111449120,111461918,2165634,12798,2165634,39,6
533,ATP6V0B,chr1,F,43974647,43978300,2169287,3653,2169287,40,6
553,AVPR1B,chr1,R,206109848,206117048,2176487,7200,2176487,41,1
576,ADGRB2,chr1,R,31727104,31764063,2213446,36959,2213446,42,32
607,BCL9,chr1,F,147541400,147626219,2298265,84819,2298265,43,11
632,BGLAP,chr1,F,156242159,156243332,2299438,1173,2299438,44,6
656,BMP8B,chr1,R,39757181,39788861,2331118,31680,2331118,45,11
676,BRDT,chr1,F,91949370,92014428,2396176,65058,2396176,46,20
712,C1QA,chr1,F,22636624,22639682,2399234,3058,2399234,47,2
713,C1QB,chr1,F,22653178,22661552,2407608,8374,2407608,48,3
714,C1QC,chr1,F,22643624,22648110,2412094,4486,2412094,49,2
722,C4BPA,chr1,F,207104237,207144972,2452829,40735,2452829,50,11
725,C4BPB,chr1,F,207088849,207099993,2463973,11144,2463973,51,7
731,C8A,chr1,F,56854769,56918221,2527425,63452,2527425,52,11
732,C8B,chr1,R,56929209,56966140,2564356,36931,2564356,53,13
765,CA6,chr1,F,8945784,8975092,2593664,29308,2593664,54,9
777,CACNA1E,chr1,F,181483310,181806784,2917138,323474,2917138,55,47
779,CACNA1S,chr1,R,201039506,201112566,2990198,73060,2990198,56,43
824,CAPN2,chr1,F,223701592,223776018,3064624,74426,3064624,57,22
829,CAPZA1,chr1,F,112619452,112671619,3116791,52167,3116791,58,10
832,CAPZB,chr1,R,19338772,19485641,3263660,146869,3263660,59,13
842,CASP9,chr1,R,15491400,15526529,3298789,35129,3298789,60,13
844,CASQ1,chr1,F,160190494,160201886,3310181,11392,3310181,61,10
845,CASQ2,chr1,R,115700002,115768805,3378984,68803,3378984,62,10
864,RUNX3,chr1,R,24899510,24965157,3444631,65647,3444631,63,6
909,CD1A,chr1,F,158248328,158258269,3454572,9941,3454572,64,6
910,CD1B,chr1,R,158327949,158331531,3458154,3582,3458154,65,5
911,CD1C,chr1,F,158289772,158294774,3463156,5002,3463156,66,5
912,CD1D,chr1,F,158178037,158186427,3471546,8390,3471546,67,7
913,CD1E,chr1,F,158353434,158357553,3475665,4119,3475665,68,5
914,CD2,chr1,F,116754434,116769229,3490460,14795,3490460,69,4
919,CD247,chr1,R,167430639,167518616,3578437,87977,3578437,70,8
922,CD5L,chr1,R,157827070,157841844,3593211,14774,3593211,71,6
943,TNFRSF8,chr1,F,12063329,12144207,3674089,80878,3674089,72,17
947,CD34,chr1,R,207881027,207911338,3704400,30311,3704400,73,8
962,CD48,chr1,R,160678745,160711851,3737506,33106,3737506,74,4
963,CD53,chr1,F,110871198,110899936,3766244,28738,3766244,75,8
965,CD58,chr1,R,116514533,116571093,3822804,56560,3822804,76,5
978,CDA,chr1,F,20588950,20618908,3852762,29958,3852762,77,3
984,CDK11B,chr1,R,1635225,1659839,3877376,24614,3877376,78,21
991,CDC20,chr1,F,43358954,43363203,3881625,4249,3881625,79,10
998,CDC42,chr1,F,22052626,22092943,3921942,40317,3921942,80,7
1031,CDKN2C,chr1,F,50968694,50974637,3927885,5943,3927885,81,2
1043,CD52,chr1,F,26317919,26320523,3930489,2604,3930489,82,1
1063,CENPF,chr1,F,214603178,214664571,3991882,61393,3991882,83,20
1104,RCC1,chr1,F,28505942,28539196,4025136,33254,4025136,84,14
1116,CHI3L1,chr1,R,203178930,203186960,4033166,8030,4033166,85,8
1117,CHI3L2,chr1,F,111227658,111243440,4048948,15782,4048948,86,10
1118,CHIT1,chr1,R,203212822,203230099,4066225,17277,4066225,87,14
1122,CHML,chr1,R,241628863,241635930,4073292,7067,4073292,88,0
1130,LYST,chr1,R,235661030,235883708,4295970,222678,4295970,89,60
1131,CHRM3,chr1,F,239386564,239911462,4820868,524898,4820868,90,11
1141,CHRNB2,chr1,F,154567780,154579878,4832966,12098,4832966,91,5
1163,CKS1B,chr1,F,154974641,154979249,4837574,4608,4837574,92,2
1179,CLCA1,chr1,F,86468842,86500294,4869026,31452,4869026,93,13
1185,CLCN6,chr1,F,11806095,11843144,4906075,37049,4906075,94,22
1187,CLCNKA,chr1,F,16021990,16034050,4918135,12060,4918135,95,19
1188,CLCNKB,chr1,F,16043735,16057326,4931726,13591,4931726,96,21
1196,CLK2,chr1,R,155262867,155273529,4942388,10662,4942388,97,13
1263,PLK3,chr1,F,44799951,44805995,4948432,6044,4948432,98,14
1266,CNN3,chr1,R,94896948,94927223,4978707,30275,4978707,99,7
1269,CNR2,chr1,R,23873462,23913327,5018572,39865,5018572,100,4
1296,COL8A2,chr1,R,36095235,36125770,5049107,30535,5049107,101,4
1298,COL9A2,chr1,R,40300486,40317690,5066311,17204,5066311,102,34
1301,COL11A1,chr1,R,102876466,103108576,5298421,232110,5298421,103,70
1307,COL16A1,chr1,R,31652246,31704167,5350342,51921,5350342,104,73
1314,COPA,chr1,R,160288586,160343564,5405320,54978,5405320,105,32
1325,CORT,chr1,F,10449718,10452003,5407605,2285,5407605,106,1
1376,CPT2,chr1,F,53196428,53214197,5425374,17769,5425374,107,4
1378,CR1,chr1,F,207496127,207641765,5571012,145638,5571012,108,47
1379,CR1L,chr1,F,207645112,207723691,5649591,78579,5649591,109,11
