chrom_ncbi chrom start start_phase end end_phase strand gene_id gene_name transcription_start transcription_end
NC_000019.10 chr19 58347021 2 58353437 0 - 1 A1BG 58346805 58353499
NC_000008.11 chr8 18400003 0 18400876 0 + 10 NAT2 18391244 18401219
NC_000020.11 chr20 44619833 2 44651607 0 - 100 ADA 44619521 44652233
NC_000018.10 chr18 27952152 0 28177022 0 - 1000 CDH2 27932878 28177481
NC_000001.11 chr1 243499742 2 243843170 0 - 10000 AKT3 243488232 243851079
NT_187519.1 chr1_KI270763v1_alt 511850 2 855268 0 - 10000 AKT3 500340 867542
NC_000014.9 chr14 70584093 1 70600637 0 - 10001 MED6 70583220 70600690
NC_000015.10 chr15 71810743 0 71817684 1 + 10002 NR2E3 71807196 71818666
NC_000011.10 chr11 90134758 0 90191747 1 + 10003 NAALAD2 90131572 90199743
NC_000016.10 chr16 75693928 0 75701418 0 - 100033411 DUXB 75693728 75701418
NC_000022.11 chr22 23966914 0 23971406 1 + 100037417 DDTL 23966837 23972559
NT_187633.1 chr22_KI270879v1_alt 203277 0 207770 1 + 100037417 DDTL 203200 208923
NC_000011.10 chr11 65045270 1 65058521 0 - 10004 NAALADL1 65044817 65059021
NC_000019.10 chr19 51643354 1 51646759 0 - 100049587 SIGLEC14 51642552 51646879
NC_000020.11 chr20 45841837 2 45857315 0 - 10005 ACOT8 45841720 45857409
NC_000010.11 chr10 26748569 2 26860863 0 - 10006 ABI1 26746595 26861087
NC_000005.10 chr5 142002028 2 142012035 0 - 10007 GNPDA1 142000668 142013055
NC_000011.10 chr11 74457251 0 74457563 0 - 10008 KCNE3 74454840 74467557
NC_000023.11 chrX 120253415 0 120255434 0 + 10009 ZBTB33 120250751 120258396
NC_000016.10 chr16 68645379 0 68698400 0 + 1001 CDH3 68644247 68727577
NC_000002.12 chr2 161179662 0 161235518 0 + 10010 TANK 161136926 161236176
NC_000007.14 chr7 75418795 2 75441496 0 - 100101267 POM121C 75416780 75486288
NC_000018.10 chr18 35253449 0 35264352 0 - 100101467 ZSCAN30 35251057 35290259
NC_000005.10 chr5 140550699 2 140557488 0 - 10011 SRA1 140550066 140558093
NC_000006.12 chr6 11538277 0 11575561 2 + 100113407 TMEM170B 11538195 11583524
NC_000019.10 chr19 10305090 1 10308681 0 - 100125288 ZGLP1 10304802 10309557
NC_000005.10 chr5 129748190 0 129765063 0 + 100127206 KIAA1024L 129748190 129765063
NC_000010.11 chr10 95913425 0 95938209 0 + 100127889 C10orf131 95907964 95938658
NC_000008.11 chr8 90959006 0 90980435 0 - 100127983 C8orf88 90958477 90985257
NC_000001.11 chr1 32361432 1 32362091 0 - 100128071 FAM229A 32361269 32362243
NC_000015.10 chr15 101737207 0 101746870 0 - 100128108 LOC100128108 101724663 101747827
NC_000006.12 chr6 167976136 0 167976652 0 - 100128124 HGC6.3 167975923 167976939
NC_000006.12 chr6 116496953 0 116545514 0 - 100128327 TRAPPC3L 116496482 116545610
NC_000020.11 chr20 18809775 1 18830051 0 - 100128496 C20orf78 18809350 18830203
NC_000007.14 chr7 144183503 0 144185837 0 + 100128553 CTAGE4 144183454 144186080
NC_000019.10 chr19 3539177 0 3544010 2 + 100128569 C19orf71 3539156 3544030
NC_000002.12 chr2 27071348 0 27071462 0 - 100128731 OST4 27070471 27071699
NC_000002.12 chr2 174025456 0 174026092 0 + 100128905 LOC100128905 174024720 174027158
NC_000014.9 chr14 104801197 0 104802466 0 + 100128927 ZBTB42 104800595 104804712
NC_000019.10 chr19 51416024 0 51417163 2 + 100129083 LOC100129083 51415905 51417425
NC_000001.11 chr1 228508645 2 228511957 0 - 100129094 BTNL10 228508026 228514017
NC_000008.11 chr8 54466787 2 54470426 0 - 100129098 LOC100129098 54465593 54470426
NC_000006.12 chr6 73223747 2 73225408 0 - 100129128 KHDC1L 73223543 73225452
NC_000011.10 chr11 71878452 0 71884561 2 + 100129216 LOC100129216 71878452 71884561
NC_000023.11 chrX 146814206 0 146814723 0 - 100129239 CXorf51A 146814103 146814731
NC_000001.11 chr1 152719521 0 152720274 0 + 100129271 C1orf68 152719521 152720429
NC_000002.12 chr2 21137467 0 21143272 0 + 100129278 TDRD15 21106651 21147393
NC_000013.11 chr13 77661375 0 77662626 0 - 100129307 LOC100129307 77661373 77662803
NC_000012.12 chr12 11171356 0 11171563 0 + 100129361 LOC100129361 11171180 11176020
NW_003571050.1 chr12_GL877876v1_alt 402010 0 402217 0 + 100129361 LOC100129361 401834 406674
NT_187658.1 chr12_KI270904v1_alt 366296 0 366503 0 + 100129361 LOC100129361 366120 370959
NC_000009.12 chr9 16203965 1 16253101 0 - 100129385 C9orf92 16203934 16276313
NC_000003.12 chr3 12540192 1 12545464 0 - 100129480 MKRN2OS 12539716 12561056
NC_000023.11 chrX 125320119 0 125323101 0 + 100129520 LOC100129520 125319810 125325214
NC_000012.12 chr12 132472747 0 132474356 0 - 100129528 MUC8 132471099 132474630
NC_000019.10 chr19 23117173 0 23146556 2 + 100129543 ZNF730 23116974 23147212
NC_000004.12 chr4 76217607 0 76283458 0 + 100129583 FAM47E 76214039 76283783
NC_000008.11 chr8 66948050 0 66961765 0 - 100129654 TCF24 66946500 66962590
NC_000009.12 chr9 24543228 1 24545649 0 - 100129669 IZUMO3 24543213 24545930
NC_000016.10 chr16 88940194 0 88951360 0 + 100129697 LOC100129697 88940038 88951524
NC_000005.10 chr5 42759121 0 42799781 0 + 100129792 CCDC152 42756817 42802437
NC_000019.10 chr19 20544591 2 20565640 0 - 100129842 ZNF737 20531223 20565847
NC_000001.11 chr1 42789432 0 42798225 2 + 100129924 LOC100129924 42787989 42798230
NC_000012.12 chr12 65851620 2 65881984 0 - 100129940 LOC100129940 65851226 65883544
NC_000023.11 chrX 48802692 0 48824612 0 + 10013 HDAC6 48801895 48824976
NC_000023.11 chrX 149592591 0 149594700 0 - 100130086 HSFX2 149592511 149595310
NC_000001.11 chr1 246771839 2 246839587 0 - 100130097 KIF28P 246770906 246839587
NC_000002.12 chr2 113406395 0 113407095 2 + 100130100 LOC100130100 113386971 113414730
NC_000008.11 chr8 143706693 0 143708109 0 - 100130274 CCDC166 143706693 143708109
NT_187571.1 chr8_KI270816v1_alt 183740 0 185156 0 - 100130274 CCDC166 183740 185156
NC_000008.11 chr8 73241456 2 73259458 0 - 100130301 C8orf89 73241363 73285712
NC_000023.11 chrX 24362760 0 24365424 0 + 100130302 SUPT20HL1 24362760 24365424
NC_000017.11 chr17 4899762 0 4900533 0 + 100130311 C17orf107 4899461 4905329
NC_000003.12 chr3 63758212 2 63782465 0 - 100130345 LOC100130345 63749815 63785022
NC_000011.10 chr11 65088454 2 65089031 0 - 100130348 TMEM262 65088211 65089990
NC_000006.12 chr6 13280959 2 13295311 0 - 100130357 LOC100130357 13279294 13297297
NC_000023.11 chrX 71714651 2 71718151 0 - 100130361 CXorf49 71714373 71718285
NC_000017.11 chr17 81376091 1 81386014 0 - 100130370 LOC100130370 81375497 81386797
NC_000002.12 chr2 213277716 0 213284078 0 - 100130451 LOC100130451 213276552 213284205
NC_000019.10 chr19 17436457 2 17448462 0 - 100130519 TMEM221 17435508 17448660
NC_000017.11 chr17 74557708 1 74567343 0 - 100130520 LOC100130520 74557245 74567534
NC_000010.11 chr10 44292760 0 44293943 1 + 100130539 LOC100130539 44292749 44294649
NC_000023.11 chrX 126819843 0 126821535 1 + 100130613 PRR32 126819763 126821786
NC_000007.14 chr7 128866409 0 128868775 2 + 100130705 LOC100130705 128866409 128872047
NC_000005.10 chr5 62579438 0 62581307 0 + 100130733 LRRC70 62578734 62581448
NC_000008.11 chr8 91102661 0 91219000 0 + 100130742 LRRC69 91102618 91219236
NC_000019.10 chr19 55540845 0 55545543 0 - 100130827 SBK3 55540558 55545543
NC_000007.14 chr7 137953468 0 137957825 0 + 100130880 LOC100130880 137953347 137957966
NC_000006.12 chr6 99526078 0 99531720 2 + 100130890 TSTD3 99520826 99579288
NC_000017.11 chr17 75647376 0 75647565 0 + 100130933 SMIM6 75644821 75647977
NC_000016.10 chr16 77199451 0 77212931 0 + 100130958 SYCE1L 77199451 77213079
NC_000006.12 chr6 158870190 0 158917990 1 + 100130967 C6orf99 158869854 158918005
NC_000007.14 chr7 50096085 0 50159169 1 + 100130988 C7orf72 50095860 50159256
NC_000007.14 chr7 6642409 0 6654611 2 + 100131017 ZNF316 6637321 6658279
NC_000019.10 chr19 4682858 0 4683844 2 + 100131094 DPP9-AS1 4679281 4685948
NC_000001.11 chr1 152079556 0 152080807 0 - 100131107 LOC100131107 152079412 152080924
NC_000019.10 chr19 47976711 2 47992081 0 - 100131137 BSPH1 47968045 47992170
NC_000001.11 chr1 161037774 1 161038889 0 - 100131187 TSTD1 161037630 161038984
NC_000002.12 chr2 190509188 1 190534655 0 - 100131211 TMEM194B 190454091 190543625
NC_000015.10 chr15 40280646 2 40282586 0 - 100131244 ANKRD63 40278368 40282987
NC_000016.10 chr16 68014107 2 68015770 0 - 100131303 LOC100131303 68013435 68015911
NC_000011.10 chr11 33698428 2 33700740 0 - 100131378 C11orf91 33698107 33700740
NC_000002.12 chr2 174335092 0 174337540 0 + 100131390 SP9 174334959 174346005
NC_000017.11 chr17 74580001 1 74592202 0 - 100131439 CD300LD 74579971 74592231
NC_000011.10 chr11 71816511 0 71821476 0 - 100131539 ZNF705E 71814044 71821547
NC_000008.11 chr8 7539804 0 7541880 0 + 100131608 PRR23D1 7536779 7542450
NT_187570.1 chr8_KI270813v1_alt 222907 0 224983 0 + 100131608 PRR23D1 219882 225553
NC_000023.11 chrX 101488589 0 101495462 0 + 100131755 ARMCX4 101418262 101535988
NC_000019.10 chr19 7629833 0 7631556 0 + 100131801 PET100 7629784 7631624
NC_000003.12 chr3 75716517 0 75785517 0 - 100131827 ZNF717 75716444 75785583
NC_000005.10 chr5 169864272 1 169883898 0 - 100131897 FAM196B 169861290 169980740
NC_000021.9 chr21 30289181 0 30289490 0 - 100131902 KRTAP25-1 30289144 30289514
NC_000008.11 chr8 7357975 0 7362946 0 - 100131980 ZNF705G 7357975 7362968
NT_187570.1 chr8_KI270813v1_alt 42257 0 47226 0 - 100131980 ZNF705G 42257 47248
NC_000009.12 chr9 40760980 0 40768045 0 - 100132004 LOC100132004 40754861 40768065
NC_000001.11 chr1 41361930 0 41382681 0 + 100132074 FOXO6 41361930 41383591
NW_009646194.1 na 111603 0 132577 2 + 100132074 FOXO6 111212 133487
NC_000003.12 chr3 46612665 0 46625218 1 + 100132146 LOC100132146 46612434 46626543
NC_000009.12 chr9 64881749 0 64888813 0 - 100132154 LOC100132154 64878466 64889049
NC_000016.10 chr16 22513801 0 22536385 0 + 100132247 NPIPB5 22513522 22536535
NW_003571056.2 chr19_GL949748v2_alt 721259 0 734914 0 + 100132285 KIR2DS2 721174 735561
NW_003571061.2 chr19_GL949753v2_alt 464586 0 478409 0 + 100132285 KIR2DS2 464502 478864
NT_187636.1 chr19_KI270882v1_alt 194841 0 208663 0 - 100132285 KIR2DS2 194386 208698
NT_187638.1 chr19_KI270884v1_alt 103037 0 116859 0 - 100132285 KIR2DS2 102582 116942
NT_187640.1 chr19_KI270886v1_alt 150268 0 164090 0 - 100132285 KIR2DS2 149813 164173
NT_187642.1 chr19_KI270888v1_alt 101557 0 115380 0 - 100132285 KIR2DS2 101102 115463
NT_187644.1 chr19_KI270890v1_alt 130475 0 144298 0 - 100132285 KIR2DS2 130020 144381
NT_187668.1 chr19_KI270914v1_alt 151220 0 165042 0 - 100132285 KIR2DS2 150765 165125
NT_187670.1 chr19_KI270916v1_alt 130563 0 144386 0 - 100132285 KIR2DS2 130108 144469
NT_187675.1 chr19_KI270921v1_alt 37083 0 50905 0 + 100132285 KIR2DS2 37048 51360
NT_187677.1 chr19_KI270923v1_alt 29526 0 43350 0 + 100132285 KIR2DS2 29441 43805
